image_name,class_label
image_0000.png,1
image_0001.png,8
image_0002.png,5
image_0003.png,8
image_0004.png,1
image_0005.png,4
image_0006.png,2
image_0007.png,7
image_0008.png,0
image_0009.png,5
image_0010.png,4
image_0011.png,1
image_0012.png,2
image_0013.png,5
image_0014.png,8
image_0015.png,6
image_0016.png,0
image_0017.png,4
image_0018.png,7
image_0019.png,5
image_0020.png,5
image_0021.png,3
image_0022.png,4
image_0023.png,9
image_0024.png,3
image_0025.png,4
image_0026.png,8
image_0027.png,0
image_0028.png,9
image_0029.png,1
image_0030.png,8
image_0031.png,7
image_0032.png,8
image_0033.png,0
image_0034.png,9
image_0035.png,8
image_0036.png,5
image_0037.png,4
image_0038.png,8
image_0039.png,1
image_0040.png,1
image_0041.png,1
image_0042.png,0
image_0043.png,8
image_0044.png,1
image_0045.png,9
image_0046.png,6
image_0047.png,5
image_0048.png,1
image_0049.png,8
image_0050.png,0
image_0051.png,7
image_0052.png,4
image_0053.png,2
image_0054.png,4
image_0055.png,1
image_0056.png,0
image_0057.png,5
image_0058.png,4
image_0059.png,7
image_0060.png,1
image_0061.png,5
image_0062.png,7
image_0063.png,6
image_0064.png,3
image_0065.png,5
image_0066.png,3
image_0067.png,3
image_0068.png,8
image_0069.png,3
image_0070.png,0
image_0071.png,8
image_0072.png,6
image_0073.png,1
image_0074.png,9
image_0075.png,9
image_0076.png,7
image_0077.png,9
image_0078.png,3
image_0079.png,3
image_0080.png,9
image_0081.png,6
image_0082.png,9
image_0083.png,2
image_0084.png,6
image_0085.png,0
image_0086.png,3
image_0087.png,8
image_0088.png,8
image_0089.png,5
image_0090.png,6
image_0091.png,0
image_0092.png,6
image_0093.png,2
image_0094.png,9
image_0095.png,8
image_0096.png,6
image_0097.png,7
image_0098.png,0
image_0099.png,3
image_0100.png,7
image_0101.png,1
image_0102.png,7
image_0103.png,6
image_0104.png,2
image_0105.png,7
image_0106.png,9
image_0107.png,5
image_0108.png,8
image_0109.png,3
image_0110.png,2
image_0111.png,4
image_0112.png,6
image_0113.png,5
image_0114.png,2
image_0115.png,6
image_0116.png,3
image_0117.png,4
image_0118.png,9
image_0119.png,4
image_0120.png,0
image_0121.png,2
image_0122.png,7
image_0123.png,3
image_0124.png,9
image_0125.png,7
image_0126.png,5
image_0127.png,8
image_0128.png,6
image_0129.png,9
image_0130.png,3
image_0131.png,3
image_0132.png,6
image_0133.png,1
image_0134.png,2
image_0135.png,7
image_0136.png,1
image_0137.png,8
image_0138.png,8
image_0139.png,6
image_0140.png,8
image_0141.png,1
image_0142.png,3
image_0143.png,3
image_0144.png,3
image_0145.png,2
image_0146.png,7
image_0147.png,3
image_0148.png,9
image_0149.png,0
image_0150.png,0
image_0151.png,7
image_0152.png,0
image_0153.png,9
image_0154.png,1
image_0155.png,6
image_0156.png,1
image_0157.png,7
image_0158.png,8
image_0159.png,2
image_0160.png,2
image_0161.png,3
image_0162.png,7
image_0163.png,9
image_0164.png,9
image_0165.png,9
image_0166.png,4
image_0167.png,3
image_0168.png,0
image_0169.png,9
image_0170.png,2
image_0171.png,8
image_0172.png,9
image_0173.png,0
image_0174.png,5
image_0175.png,3
image_0176.png,2
image_0177.png,4
image_0178.png,2
image_0179.png,2
image_0180.png,6
image_0181.png,2
